Date,Open,High,Low,Close,Volume,Adj Close
2014-03-06,129.01,129.37,128.03,128.86,3595900,128.86
2014-03-05,130.40,130.80,128.69,128.79,4095200,128.79
2014-03-04,129.38,131.00,129.33,130.23,5422800,130.23
2014-03-03,127.18,128.44,126.52,128.22,4847100,128.22
2014-02-28,128.75,129.95,128.06,128.92,4361400,128.92
2014-02-27,126.47,128.56,126.26,128.56,4649700,128.56
2014-02-26,127.24,127.94,126.36,126.61,4803600,126.61
2014-02-25,129.30,129.75,126.21,126.78,7308800,126.78
2014-02-24,128.38,130.80,128.36,129.59,4635700,129.59
2014-02-21,129.80,129.80,128.11,128.28,5164000,128.28
2014-02-20,128.48,129.99,127.51,129.56,4466400,129.56
2014-02-19,130.11,130.50,128.37,128.39,5146600,128.39
2014-02-18,130.13,130.94,129.60,130.63,4645300,130.63
2014-02-14,129.09,130.41,128.02,130.16,4807700,130.16
2014-02-13,127.06,129.94,127.06,129.50,4203400,129.50
2014-02-12,130.29,130.55,128.00,128.13,5798800,128.13
2014-02-11,127.65,130.69,127.46,130.16,7874000,129.43
2014-02-10,128.96,128.97,126.35,127.16,8173500,126.45
2014-02-07,123.75,127.21,123.65,127.02,8906300,126.31
2014-02-06,121.79,122.72,121.51,122.67,6738800,121.98
2014-02-05,121.00,121.94,118.77,121.40,9689100,120.72
2014-02-04,123.07,123.80,120.53,122.04,9304100,121.36
2014-02-03,124.24,126.52,122.75,123.08,9309600,122.39
2014-01-31,124.46,126.87,123.08,125.26,9732700,124.56
2014-01-30,131.70,131.70,125.20,126.53,10406200,125.82
2014-01-29,131.70,131.76,128.07,129.78,15993400,129.05
2014-01-28,137.61,138.09,136.44,137.09,4606200,136.32
2014-01-27,136.70,138.46,135.65,137.36,5057800,136.59
2014-01-24,140.40,140.47,136.32,136.65,5856800,135.88
2014-01-23,143.10,143.89,141.10,141.31,4491400,140.52
2014-01-22,142.31,144.57,141.87,144.37,4388700,143.56
2014-01-21,141.46,142.46,140.81,141.67,3240600,140.88
2014-01-17,140.08,141.00,139.75,140.46,3382700,139.67
2014-01-16,140.33,141.45,140.07,140.21,3062900,139.42
2014-01-15,140.30,141.08,140.14,140.62,3030800,139.83
2014-01-14,140.85,141.70,137.80,140.01,8441600,139.22
2014-01-13,141.55,142.14,140.38,140.70,4462400,139.91
