Date,Open,High,Low,Close,Volume,Adj Close
2014-03-06,24.57,24.65,24.38,24.63,22371700,24.63
2014-03-05,24.70,24.71,24.40,24.50,21036200,24.50
2014-03-04,24.72,24.78,24.50,24.61,23661200,24.61
2014-03-03,24.55,24.59,24.30,24.50,25728500,24.50
2014-02-28,24.79,24.85,24.57,24.76,23482700,24.76
2014-02-27,24.80,24.80,24.51,24.76,20863900,24.76
2014-02-26,24.74,24.98,24.61,24.80,19820200,24.80
2014-02-25,24.67,24.71,24.46,24.62,21539100,24.62
2014-02-24,24.51,24.88,24.41,24.63,24145500,24.63
2014-02-21,24.95,24.96,24.35,24.42,30579800,24.42
2014-02-20,24.54,24.85,24.50,24.74,20193800,24.74
2014-02-19,24.65,24.72,24.42,24.50,25686000,24.50
2014-02-18,24.67,24.78,24.55,24.76,17738100,24.76
2014-02-14,24.58,24.76,24.41,24.76,20539700,24.76
2014-02-13,24.43,24.74,24.31,24.70,22922000,24.70
2014-02-12,24.51,24.69,24.37,24.55,25874100,24.55
2014-02-11,24.35,24.52,24.33,24.47,17911700,24.47
2014-02-10,24.11,24.37,24.06,24.29,24571300,24.29
2014-02-07,24.20,24.26,23.77,24.21,30808400,24.21
2014-02-06,23.60,24.08,23.55,23.99,28008400,23.99
2014-02-05,23.70,23.76,23.50,23.52,32476200,23.52
2014-02-04,23.99,24.04,23.58,23.82,50816300,23.59
2014-02-03,24.50,24.51,23.89,23.95,52868200,23.72
2014-01-31,24.45,24.65,24.40,24.54,28623300,24.31
2014-01-30,24.75,24.89,24.54,24.74,24610100,24.51
2014-01-29,24.75,24.96,24.63,24.68,27145700,24.45
2014-01-28,24.71,25.05,24.57,24.90,32453800,24.66
2014-01-27,24.77,24.99,24.66,24.72,32564900,24.49
2014-01-24,24.88,25.19,24.79,24.81,34838700,24.58
2014-01-23,25.17,25.25,24.90,25.13,40241000,24.89
2014-01-22,25.39,25.54,25.15,25.31,48749900,25.07
2014-01-21,25.79,25.80,25.27,25.59,42286400,25.35
2014-01-17,25.36,25.86,25.25,25.85,111758900,25.61
2014-01-16,26.64,26.74,26.33,26.54,48960800,26.29
2014-01-15,26.72,27.12,26.61,26.67,58277700,26.42
2014-01-14,26.01,26.55,25.90,26.51,74142900,26.26
2014-01-13,25.63,25.99,25.42,25.50,40274500,25.26
